target,predicted
0.036239635,0.039811686
0.036252074,0.039810576
0.0362647,0.03980823
0.036277514,0.03980468
0.036290526,0.03979969
0.036303736,0.039793074
0.03631715,0.039785005
0.03633078,0.039774995
0.036344614,0.039763086
0.036358673,0.039748937
0.036372956,0.03973233
0.03638747,0.03971283
0.036402218,0.039690297
0.03641721,0.03966419
0.036432445,0.039634008
0.03644794,0.03959899
0.03646369,0.039558146
0.036479704,0.039510474
0.036495995,0.039454374
0.036512565,0.039387915
0.036529426,0.039309256
0.036546577,0.03921555
0.036564033,0.039106075
0.0365818,0.038983688
0.036599882,0.03886237
0.036618296,0.03876926
0.036637045,0.03872322
0.03665614,0.038698114
0.03667559,0.038647957
0.036695406,0.03855992
0.036715597,0.038469117
0.036736175,0.038440518
0.03675715,0.03851163
0.036778536,0.038633257
0.03680034,0.038719747
0.036822576,0.038730785
0.036845263,0.038678057
0.03686841,0.03860189
0.036892023,0.03855135
0.03691613,0.03854015
0.036940742,0.038530134
0.03696587,0.038479634
0.036991537,0.038376335
0.03701775,0.038225222
0.03704454,0.038031347
0.03707192,0.03779828
0.03709991,0.03752531
0.037128523,0.037209086
0.037157793,0.036844306
0.037187733,0.03642245
0.037218366,0.03593338
0.037249725,0.035362877
0.037281826,0.034692816
0.0373147,0.0339007
0.037348375,0.03295712
0.037382882,0.031825818
0.037418246,0.030461937
0.03745451,0.028815418
0.037491694,0.026839606
0.03752984,0.024518318
0.03756899,0.021928914
0.037609175,0.019356668
0.037650447,0.01742649
0.037692837,0.017074428
0.037736405,0.019187734
0.03778119,0.024125561
0.037827246,0.03138175
0.037874628,0.03961853
0.037923392,0.047452495
0.0379736,0.05409658
0.038025316,0.05909897
0.038078614,0.062010963
0.038133558,0.06256525
0.038190227,0.060921475
0.038248707,0.057435974
0.038309082,0.05232699
0.038371447,0.045871243
0.0384359,0.038651682
0.038502548,0.031385988
0.0385715,0.024881504
0.03864288,0.02022355
0.038716815,0.018614113
0.038793445,0.020703465
0.03887292,0.025973223
0.038955398,0.033302903
0.039041054,0.041435927
0.039130066,0.0484514
0.039222643,0.053499803
0.039318997,0.05572585
0.03941936,0.054541484
0.03952399,0.05008416
0.03963316,0.04356029
0.039747167,0.035893895
0.03986634,0.028643988
0.039991036,0.024189778
0.040121637,0.023037866
0.04025858,0.025177315
0.040402323,0.029917747
0.040553387,0.03620065
0.04071234,0.04295457
0.04087981,0.049213797
0.04105649,0.05414299
0.04124316,0.057104968
0.041440673,0.05773701
0.04165,0.055932254
0.04187222,0.05178889
0.042108547,0.045690663
0.04236035,0.038449086
0.04262919,0.031275123
0.042916827,0.025547467
0.043225285,0.022462338
0.043556873,0.022667676
0.043914262,0.026116773
0.04430054,0.0323186
0.04471931,0.04055994
0.045174778,0.049778946
0.04567191,0.058561053
0.0462166,0.06551285
0.046815887,0.069620356
0.04747826,0.07035127
0.04821402,0.06762509
0.049035806,0.061796643
0.04995929,0.05370072
0.051004123,0.04460261
0.052195236,0.035920106
0.05356476,0.028348617
0.055154726,0.02203761
0.057021126,0.019524395
0.059240106,0.023339756
0.061917648,0.030690998
0.06520533,0.042471938
0.06932698,0.06836428
0.07462576,0.08792184
0.081652254,0.11008513
0.09134021,0.14634235
0.10538669,0.18475446
0.1271602,0.22141522
0.16415662,0.25211984
0.23571134,0.28364217
0.4003811,0.33607945
0.7984894,0.42385063
0.79477316,0.48452857
0.27189502,0.48362988
0.103574395,0.34646124
0.052445546,0.19408935
0.03374152,0.075589195
0.026036253,-0.020426258
0.022718396,-0.06337228
0.021355068,-0.037071966
0.020927362,-0.016302526
0.020966368,0.010387927
0.021240871,0.035817593
0.021631032,0.05013276
0.022072569,0.058427174
0.022530314,0.052506022
0.022984944,0.038793422
0.023426013,0.024987511
0.023848148,0.010846958
0.024248913,0.0029771551
0.024627574,0.0036086515
0.024984375,0.006895013
0.025320105,0.014056742
0.02563584,0.02291692
0.025932785,0.03230486
0.026212182,0.03821282
0.026475249,0.038278982
0.026723161,0.03935539
0.026957024,0.034283713
0.027177865,0.02822689
0.027386643,0.02436959
0.027584234,0.022150636
0.027771452,0.02088222
0.027949039,0.020865418
0.028117675,0.02211029
0.028277984,0.024378635
0.028430538,0.027248204
0.028575862,0.030645065
0.028714437,0.033311114
0.028846702,0.03376367
0.028973065,0.035308756
0.0290939,0.03656862
0.02920955,0.032697782
0.02932033,0.028866634
0.029426534,0.025844052
0.029528432,0.02418235
0.029626273,0.023373514
0.02972029,0.023638278
0.029810695,0.025355026
0.02989769,0.027359061
0.029981457,0.029898293
0.03006217,0.033533685
0.030139992,0.0358129
0.030215068,0.03571476
0.030287538,0.034037888
0.030357536,0.032074384
0.03042518,0.029975876
0.030490587,0.02922818
0.030553862,0.028417647
0.030615106,0.0281756
0.030674415,0.028357662
0.030731875,0.02898375
