target,predicted
0.036196075,0.040059976
0.03620782,0.03998036
0.036219742,0.039893076
0.036231834,0.039797407
0.036244106,0.039692074
0.03625656,0.039575633
0.036269203,0.039446864
0.036282036,0.03930354
0.036295064,0.039143592
0.036308296,0.03896415
0.03632173,0.03876175
0.03633537,0.038532015
0.03634923,0.038269732
0.036363307,0.037967928
0.03637761,0.03761803
0.03639214,0.03720822
0.036406912,0.03672366
0.03642192,0.0361445
0.03643718,0.035444472
0.03645269,0.034589905
0.03646846,0.033540215
0.0364845,0.032253977
0.03650081,0.03071807
0.0365174,0.029022776
0.03653428,0.027510792
0.036551457,0.026845708
0.036568932,0.027514197
0.03658672,0.028996281
0.03660483,0.030225359
0.036623262,0.030772291
0.036642034,0.03106146
0.03666115,0.031964473
0.036680628,0.03402694
0.036700465,0.036759205
0.03672068,0.039209403
0.03674128,0.040921256
0.03676228,0.041962404
0.036783688,0.04259088
0.036805514,0.043065272
0.036827777,0.04351603
0.036850486,0.04391385
0.036873654,0.044200134
0.036897298,0.04437321
0.036921427,0.044464346
0.036946062,0.044503767
0.036971215,0.044514824
0.036996905,0.044512376
0.037023146,0.04450663
0.037049957,0.044505566
0.03707736,0.044514947
0.03710537,0.04454139
0.03713401,0.044590928
0.037163302,0.044670913
0.037193265,0.044790972
0.03722392,0.044962488
0.037255302,0.045200292
0.037287425,0.045521583
0.03732032,0.04594553
0.03735402,0.046486903
0.037388545,0.04714115
0.037423927,0.04784997
0.037460208,0.048437316
0.03749741,0.048539165
0.037535574,0.047622148
0.03757474,0.045189533
0.03761494,0.04105659
0.037656225,0.035547443
0.03769863,0.02951356
0.037742205,0.023953147
0.037787,0.019619368
0.037833065,0.016985856
0.03788045,0.016317993
0.03792922,0.017607592
0.037979428,0.020484604
0.038031142,0.024465747
0.038084432,0.029279955
0.03813937,0.034690678
0.03819603,0.040234834
0.038254496,0.045339726
0.03831485,0.04940018
0.038377192,0.05168607
0.038441613,0.051491737
0.038508225,0.048619732
0.038577136,0.043795437
0.038648468,0.037787072
0.03872235,0.031399585
0.038798917,0.026892714
0.03887832,0.024712086
0.038960718,0.02522885
0.03904628,0.028536752
0.03913519,0.03420993
0.039227653,0.041191086
0.039323874,0.047465578
0.03942409,0.05153446
0.039528556,0.053075
0.03963754,0.051593818
0.039751343,0.047482006
0.03987029,0.041769862
0.039994724,0.035718575
0.040125042,0.030473188
0.040261663,0.02690418
0.04040505,0.025541328
0.04055572,0.026514515
0.040714227,0.029566295
0.040881194,0.03419157
0.04105732,0.03980825
0.04124336,0.04575433
0.041440174,0.051206857
0.041648712,0.055268865
0.041870043,0.057188213
0.042105366,0.056550205
0.04235604,0.05342578
0.042623594,0.04841078
0.04290978,0.04239536
0.043216575,0.036265366
0.04354627,0.030849837
0.043901492,0.027001493
0.044285275,0.025568321
0.044701163,0.027141899
0.045153294,0.031706683
0.045646537,0.038581528
0.046186678,0.046737693
0.046780612,0.055143047
0.04743664,0.06306678
0.048164833,0.07054767
0.04897753,0.07416327
0.049890008,0.074344896
0.05092137,0.07271978
0.052095834,0.064974755
0.053444535,0.05512371
0.055008102,0.04663703
0.056840524,0.03487584
0.05901498,0.02589921
0.06163297,0.020767964
0.06483907,0.029053405
0.068845704,0.0430158
0.07397665,0.058831383
0.0807477,0.087831385
0.09002595,0.12551756
0.10336979,0.1589801
0.12382829,0.19749622
0.15805934,0.25720587
0.2228234,0.34001353
0.3677816,0.38229352
0.7279092,0.3987335
0.8797282,0.40409225
0.32203045,0.4221484
0.11805892,0.38130012
0.057487026,0.23425919
0.035795137,0.11555112
0.026947837,0.017401554
0.023130214,-0.031485125
0.021526767,-0.032407187
0.020976204,-0.040776692
0.020949868,-0.026225202
0.021189053,0.0037467554
0.021560313,0.028922126
0.021992244,0.05393798
0.022445772,0.06590788
0.022899346,0.058946952
0.02334122,0.048943877
0.023765236,0.03398583
0.024168486,0.018128082
0.024549937,0.0033996105
0.024909655,-0.0026664436
0.025248315,0.003556855
0.025566924,0.00859192
0.025866648,0.019801877
0.026148703,0.030284368
0.026414301,0.038266294
0.02666461,0.04270052
0.026900735,0.042114466
0.027123712,0.04066907
0.0273345,0.036837928
0.027533988,0.030966543
0.02772299,0.023799524
0.027902257,0.017423145
0.028072475,0.01378306
0.028234277,0.014530249
0.02838824,0.0153632015
0.028534893,0.01753278
0.028674725,0.025823362
0.02880818,0.03365861
0.028935669,0.038656272
0.02905757,0.0415952
0.029174231,0.043999717
0.029285973,0.044017926
0.029393088,0.03721849
0.029495854,0.032304116
0.02959452,0.02716095
0.029689323,0.021797381
0.02978048,0.017970882
0.02986819,0.017008707
0.02995264,0.01899594
0.030034008,0.021997727
0.030112451,0.025795095
0.030188125,0.028614014
0.030261168,0.031832486
0.030331714,0.03563512
0.030399885,0.039241605
0.030465798,0.042222112
